key,value
0,51
1,50
2,46
3,53
4,54
5,61
6,41
7,51
8,49
9,50
10,50
11,50
12,50
13,50
14,50
15,50
16,50
17,50
18,50
19,50
20,50
21,58
22,53
23,40
24,50
25,50
26,44
27,56
28,51
29,51
30,49
31,51
32,50
33,48
34,49
35,62
36,44
37,45
38,56
39,48
40,75
41,54
42,52
43,50
44,45
45,50
46,24
47,51
48,50
49,52
50,45
51,50
52,51
53,50
54,33
55,34
56,39
57,49
58,48
59,57
60,34
61,46
62,57
63,51
64,58
65,53
66,81
67,50
68,46
69,50
70,50
71,50
72,70
73,104
74,7
75,50
76,51
77,21
78,50
79,50
80,50
81,50
82,22
83,50
84,50
85,50
86,78
87,50
88,50
89,50
90,50
91,50
92,49
93,49
94,51
95,51
96,51
97,49
98,51
99,51
100,50
101,47
102,50
103,52
104,50
105,50
106,50
107,54
108,55
109,51
110,55
111,45
112,51
113,52
114,46
115,46
116,50
117,51
118,54
119,45
120,52
121,51
122,72
123,50
124,27
125,49
126,50
127,44
128,61
129,50
130,50
131,50
132,58
133,50
134,40
135,50
136,50
137,50
138,50
139,50
140,50
141,50
142,50
143,49
144,50
145,50
146,48
147,51
148,51
149,55
150,47
151,49
152,52
153,52
154,49
155,61
156,50
157,52
158,51
159,51
160,50
161,48
162,50
163,50
164,52
165,52
166,51
167,51
168,48
169,51
170,45
171,54
172,51
173,50
174,51
175,51
176,51
177,55
178,48
179,50
180,50
181,50
182,50
183,51
184,44
185,43
186,59
187,51
188,52
189,47
190,53
191,54
192,48
193,52
194,50
195,53
196,44
197,42
198,62
199,50
200,51
201,49
202,47
203,46
204,36
205,49
206,50
207,49
208,47
209,50
210,48
211,51
212,49
213,50
214,51
215,51
216,51
217,48
218,51
219,43
220,54
221,50
222,51
223,51
224,51
225,50
226,54
227,48
228,50
229,53
230,46
231,52
232,50
233,49
234,51
235,50
236,49
237,48
238,37
239,52
240,52
241,62
242,49
243,50
244,53
245,50
246,49
247,50
248,32
249,60
250,57
251,50
252,48
253,50
254,48
255,50
256,47
257,49
258,52
259,51
260,51
261,50
262,52
263,48
264,50
265,40
266,54
267,56
268,50
269,48
270,50
271,50
272,48
273,48
274,51
275,50
276,50
277,64
278,34
279,53
280,53
281,61
282,12
283,49
284,50
285,58
286,49
287,51
288,47
289,50
290,53
291,51
292,68
293,50
294,49
295,50
296,50
297,52
298,47
299,52
300,50
301,58
302,56
303,48
304,38
305,49
306,51
307,51
308,51
309,49
310,45
311,60
312,39
313,50
314,48
315,50
316,49
317,49
318,50
319,49
320,53
321,50
322,51
323,50
324,50
325,51
326,49
327,50
