key,value
0,61
1,54
2,35
3,49
4,62
5,74
6,27
7,47
8,74
9,57
10,52
11,46
12,53
13,53
14,45
15,43
16,48
17,38
18,45
19,39
20,51
21,62
22,55
23,63
24,42
25,51
26,46
27,45
28,48
29,44
30,30
31,58
32,60
33,48
34,81
35,60
36,59
37,44
38,61
39,24
40,35
41,35
42,45
43,47
44,43
45,58
46,45
47,42
48,67
49,62
50,39
51,48
52,51
53,28
54,67
55,39
56,29
57,26
58,35
59,51
60,76
61,27
62,32
63,55
64,43
65,70
66,80
67,42
68,42
69,56
70,61
71,56
72,35
73,81
74,30
75,56
76,40
77,48
78,77
79,51
80,68
81,63
82,31
83,64
84,44
85,51
86,52
87,52
88,45
89,43
90,50
91,59
92,47
93,48
94,51
95,51
96,48
97,49
98,62
99,50
100,53
101,36
102,48
103,64
104,55
105,53
106,73
107,68
108,57
109,70
110,55
111,56
112,41
113,55
114,65
115,44
116,33
117,51
118,26
119,62
120,39
121,35
122,36
123,53
124,45
125,49
126,54
127,44
128,44
129,49
130,56
131,43
132,48
133,40
134,49
135,44
136,47
137,52
138,61
139,43
140,57
141,53
142,61
143,52
144,69
145,50
146,38
147,52
148,51
149,60
150,50
151,58
152,45
153,52
154,42
155,42
156,49
157,51
158,34
159,33
160,69
161,43
162,40
163,59
164,51
165,36
166,28
167,39
168,51
169,42
170,39
171,31
172,76
173,41
174,51
175,56
176,40
177,47
178,36
179,50
180,44
181,59
182,38
183,76
184,61
185,61
186,83
187,44
188,42
189,54
190,54
191,69
192,57
193,53
194,52
195,42
196,39
197,35
198,34
199,45
200,49
201,41
202,63
203,38
204,66
205,38
206,48
207,49
208,31
209,54
210,46
211,71
212,49
213,66
214,48
215,46
216,38
217,49
218,45
219,33
220,42
221,103
222,45
223,50
224,46
225,58
226,68
227,36
228,106
229,74
230,41
231,27
232,47
233,92
234,65
235,45
236,40
237,44
238,34
239,63
240,52
241,25
242,36
243,50
244,50
245,45
246,29
247,54
248,39
249,26
250,29
251,49
252,62
253,31
254,46
255,48
256,53
257,54
258,60
259,59
260,61
261,60
262,31
263,39
264,29
265,61
266,69
267,77
268,31
269,36
270,54
271,45
272,47
273,54
274,51
275,51
276,92
277,45
278,41
279,42
280,44
281,33
282,20
283,56
284,38
285,49
286,30
287,67
288,75
289,37
290,44
291,62
292,44
293,47
294,66
295,49
296,48
297,39
298,53
299,52
300,48
301,44
302,64
303,49
304,45
305,61
306,42
307,72
308,36
309,28
310,63
311,40
312,22
313,81
314,61
315,42
316,53
317,64
318,64
319,66
320,55
321,42
322,41
323,49
324,43
325,49
326,69
327,52
328,46
329,59
330,30
331,83
332,56
333,54
334,54
335,43
336,66
337,54
338,45
339,52
340,55
341,23
342,68
343,33
344,41
345,42
346,34
347,55
348,46
349,39
350,28
351,60
352,40
353,60
354,63
355,51
356,50
357,36
358,54
359,38
360,48
361,61
362,55
363,66
364,56
365,32
366,50
367,36
368,49
369,70
370,37
371,51
372,50
373,61
374,37
375,32
376,56
377,73
378,41
379,52
380,53
381,45
382,36
383,42
384,49
385,51
386,58
387,46
388,50
389,44
390,71
391,30
392,51
393,35
394,40
395,67
396,42
397,42
398,23
399,81
400,53
401,35
402,29
403,45
404,52
405,51
406,49
407,39
408,60
409,29
410,51
411,44
412,41
413,54
414,44
415,24
416,57
417,53
418,65
419,64
420,35
421,29
422,40
423,47
424,22
425,42
426,54
427,37
428,48
429,35
430,48
431,50
432,52
433,42
434,62
435,58
436,35
437,47
438,54
439,62
440,49
441,37
442,64
443,59
444,55
445,64
446,61
447,32
448,45
449,41
450,36
451,43
452,69
453,55
454,41
455,32
456,76
457,25
458,62
459,65
460,70
461,48
462,34
463,38
464,70
465,51
466,43
467,27
468,37
469,49
470,65
471,41
472,52
473,77
474,45
475,43
476,40
477,50
478,60
479,33
480,51
481,31
482,89
483,57
484,55
485,27
486,26
487,51
488,45
489,61
490,64
491,28
492,57
493,48
494,19
495,56
496,45
497,23
498,56
499,32
500,38
501,96
502,75
503,50
504,49
505,39
506,23
507,41
508,31
509,40
510,67
511,45
512,43
513,41
514,38
515,48
516,44
517,66
518,61
519,42
520,50
521,40
522,40
523,49
524,18
525,50
526,35
527,52
528,46
529,63
530,40
531,36
532,44
533,64
534,34
535,21
536,48
537,66
538,55
539,68
540,70
541,45
542,26
543,28
544,42
545,43
546,29
547,46
548,52
549,66
550,45
551,64
552,51
553,29
554,56
555,65
556,63
557,55
558,25
559,40
560,51
561,65
562,41
563,44
564,56
565,70
566,45
567,43
568,62
569,41
570,51
571,52
572,63
573,73
574,56
575,59
576,51
577,42
578,35
579,43
580,44
581,21
582,36
583,49
584,138
585,20
586,45
587,35
588,54
589,45
590,56
591,54
592,39
593,64
594,39
595,65
596,24
597,55
598,54
599,57
600,88
601,82
602,57
603,60
604,58
605,22
606,78
607,59
608,48
609,45
610,44
611,46
612,47
613,39
614,51
615,64
616,47
617,58
618,40
619,63
620,36
621,57
622,41
623,73
624,51
625,67
626,51
627,67
628,50
629,61
630,45
631,67
632,48
633,74
634,45
635,58
636,78
637,42
638,32
639,46
640,56
641,46
642,42
643,34
644,60
645,54
646,65
647,50
648,53
649,56
650,59
651,62
652,54
653,35
654,79
655,40
656,25
657,41
658,97
659,40
660,58
661,45
662,72
663,54
664,31
665,51
666,52
667,46
668,47
669,57
670,29
671,52
672,52
673,68
674,53
675,56
676,50
677,37
678,45
679,81
680,75
681,27
682,63
683,49
684,50
685,42
686,35
687,49
688,46
689,54
690,43
691,49
692,61
693,55
694,43
695,14
696,33
697,71
698,76
699,39
700,52
701,82
702,57
703,47
704,34
705,43
706,23
707,37
708,48
709,62
710,38
711,56
712,64
713,62
714,62
715,55
716,40
717,43
718,52
719,61
720,34
721,44
722,45
723,37
724,54
725,42
726,47
727,68
728,25
729,42
730,68
731,25
732,48
733,65
734,35
735,78
736,51
737,23
738,52
739,33
740,27
741,50
742,68
743,55
744,22
745,38
746,44
747,58
748,49
749,36
750,39
751,64
752,54
753,40
754,44
755,70
756,41
757,52
758,39
759,44
760,38
761,55
762,51
763,34
764,63
765,47
766,32
767,46
768,63
769,71
770,30
771,44
772,49
773,72
774,63
775,61
776,50
777,70
778,28
779,48
780,55
781,61
782,63
783,34
784,33
785,41
786,60
787,33
788,21
789,58
790,38
791,47
792,41
793,63
794,39
795,55
796,60
797,42
798,93
799,52
800,55
801,35
802,44
803,48
804,55
805,55
806,31
807,51
808,36
809,39
810,74
811,52
812,44
813,33
814,66
815,49
816,40
817,53
818,36
819,83
820,51
821,37
822,28
823,61
824,55
825,46
826,31
827,47
828,54
829,57
830,46
831,57
832,62
833,47
834,55
835,41
836,46
837,55
838,44
839,30
840,55
841,37
842,74
843,53
844,45
845,32
846,66
847,53
848,78
849,48
850,76
851,47
852,49
853,56
854,78
855,58
856,65
857,45
858,44
859,51
860,96
861,55
862,47
863,56
864,50
865,47
866,44
867,56
868,57
869,40
870,67
871,41
872,52
873,51
874,51
875,39
876,37
877,41
878,44
879,31
880,62
881,59
882,40
883,70
884,46
885,39
886,58
887,50
888,45
889,27
890,46
891,49
892,34
893,77
894,73
895,68
896,39
897,54
898,29
899,67
900,45
901,44
902,103
903,64
904,106
905,63
906,29
907,26
908,52
909,29
910,49
911,81
912,66
913,53
914,44
915,47
916,56
917,34
918,44
919,29
920,35
921,37
922,89
923,70
924,38
925,68
926,22
927,53
928,38
929,40
930,96
931,44
932,61
933,39
934,37
935,40
936,45
937,57
938,83
939,39
940,57
941,52
942,55
943,29
944,28
945,59
946,69
947,53
948,61
949,55
950,60
951,56
952,47
953,33
954,56
955,57
956,59
957,29
958,71
959,51
960,36
961,72
962,43
963,43
964,34
965,32
966,36
967,37
968,40
969,54
970,43
971,37
972,48
973,78
974,55
975,114
976,73
977,138
978,52
979,87
980,61
981,60
982,27
983,56
984,66
985,50
986,48
987,47
988,51
989,45
990,49
991,54
992,53
993,46
994,49
995,53
996,45
997,60
998,62
999,24
